Related Program Level;Related Program Name;Related Institution;Partner Institution;Partner Country;Partner City;Partner Program;International Agreement;latitude;longitude
Master;Physiological and Psychological Food Choice Determinants (P²FOOD);Université Marie & Louis Pasteur (UMLP), Institut Agro Dijon (IAD);Universität Hohenheim;Germany;Stuttgart;Exchange program in food science;Erasmus+;48.7784485;9.1800132
Master;Physiological and Psychological Food Choice Determinants (P²FOOD);Université Marie & Louis Pasteur (UMLP), Institut Agro Dijon (IAD);Université de Liège / Gembloux Agro-Bio Tech;Belgium;Gembloux;Exchange program in food science;Erasmus+;50.5597273;4.6943126
Master;Physiological and Psychological Food Choice Determinants (P²FOOD);Université Marie & Louis Pasteur (UMLP), Institut Agro Dijon (IAD);Universidad Politecnica De Valencia;Spain;Valencia;Exchange program in food science;Erasmus+;39.4697065;-0.3763353
Master;Physiological and Psychological Food Choice Determinants (P²FOOD);Université Marie & Louis Pasteur (UMLP), Institut Agro Dijon (IAD);University of Bonn;Germany;Bonn;Exchange program in food science;Erasmus+;50.7352621;7.1024635
Master;Microbiology and Physicochemistry for food and wine Processes (MP²);Université Marie & Louis Pasteur (UMLP), Institut Agro Dijon (IAD);Universität Hohenheim;Germany;Stuttgart;Exchange program in food science/microbiology;Erasmus+;48.7784485;9.1800132
Master;Microbiology and Physicochemistry for food and wine Processes (MP²);Université Marie & Louis Pasteur (UMLP), Institut Agro Dijon (IAD);Université de Liège / Gembloux Agro-Bio Tech;Belgium;Gembloux;Exchange program in food science/microbiology;Erasmus+;50.5597273;4.6943126
Master;Microbiology and Physicochemistry for food and wine Processes (MP²);Université Marie & Louis Pasteur (UMLP), Institut Agro Dijon (IAD);Universidad de Córdoba;Spain;Córdoba;Exchange program in food science/microbiology;Erasmus+;37.8845813;-4.7760138
Master;Microbiology and Physicochemistry for food and wine Processes (MP²);Université Marie & Louis Pasteur (UMLP), Institut Agro Dijon (IAD);University of Natural Resources and Life Sciences, Vienna (BOKU);Austria;Vienna;Exchange program in food science/microbiology;Erasmus+;48.2083537;16.3725042
Master;Biodiversité et Changements Anthropiques : écologie, évolution, gestion (BCA);Université Marie & Louis Pasteur (UMLP);University of Helsinki;Finland;Helsinki;Exchange program in ecology/biodiversity;Erasmus+;60.1674881;24.9427473
Master;Biodiversité et Changements Anthropiques : écologie, évolution, gestion (BCA);Université Marie & Louis Pasteur (UMLP);Ghent University;Belgium;Ghent;Exchange program in ecology/biodiversity;Erasmus+;51.0538286;3.7250121
